Time,Time_Formatted,Temp_External,Temp_Internal,Open,Close_Actuation
1642121656,14/01/2022 00:54,3,16.1,0,0
1642121956,14/01/2022 00:59,3,16.9,0,0
1642122256,14/01/2022 01:04,3,16.5,0,0
1642122556,14/01/2022 01:09,3,16.2,0,0
1642122856,14/01/2022 01:14,3,16.8,0,0
1642123156,14/01/2022 01:19,2.9,16.7,0,0
1642123456,14/01/2022 01:24,2.9,16.3,0,0
1642123756,14/01/2022 01:29,2.9,16.7,0,0
1642124056,14/01/2022 01:34,2.9,16.9,0,0
1642124356,14/01/2022 01:39,2.9,16.3,0,0
1642124656,14/01/2022 01:44,2.8,16.5,0,0
1642124956,14/01/2022 01:49,2.8,16.2,0,0
1642125256,14/01/2022 01:54,2.8,16.8,0,0
1642125556,14/01/2022 01:59,2.8,16.5,0,0
1642125856,14/01/2022 02:04,2.8,16.8,0,0
1642126156,14/01/2022 02:09,2.7,16.5,0,0
1642126456,14/01/2022 02:14,2.7,16.5,0,0
1642126756,14/01/2022 02:19,2.6,16,0,0
1642127056,14/01/2022 02:24,2.6,15.8,0,0
1642127356,14/01/2022 02:29,2.6,15.8,0,0
1642127656,14/01/2022 02:34,2.5,15.9,0,0
1642127956,14/01/2022 02:39,2.5,15.5,0,0
1642128256,14/01/2022 02:44,2.5,15.9,0,0
1642128556,14/01/2022 02:49,2.4,15.4,0,0
1642128856,14/01/2022 02:54,2.4,15.2,0,0
1642129156,14/01/2022 02:59,2.4,15.6,0,0
1642129456,14/01/2022 03:04,2.3,15.7,0,0
1642129756,14/01/2022 03:09,2.3,15.2,0,0
1642130056,14/01/2022 03:14,2.2,15.5,0,0
1642130356,14/01/2022 03:19,2.2,15.3,0,0
1642130656,14/01/2022 03:24,2.2,15.7,0,0
1642130956,14/01/2022 03:29,2.1,15.7,0,0
1642131256,14/01/2022 03:34,2.1,15.7,0,0
1642131556,14/01/2022 03:39,2.1,15.9,0,0
1642131856,14/01/2022 03:44,2,15.8,0,0
1642132156,14/01/2022 03:49,2,15.7,0,0
1642132456,14/01/2022 03:54,2,15.1,0,0
1642132756,14/01/2022 03:59,1.9,15.7,0,0
1642133056,14/01/2022 04:04,2.1,15.5,0,0
1642133356,14/01/2022 04:09,2.4,15.8,0,0
1642133656,14/01/2022 04:14,2.6,16,0,0
1642133956,14/01/2022 04:19,2.8,16.3,0,0
1642134256,14/01/2022 04:24,3,16.7,0,0
1642134556,14/01/2022 04:29,3.2,16.8,0,0
1642134856,14/01/2022 04:34,3.4,16.3,0,0
1642135156,14/01/2022 04:39,3.6,16.6,0,0
1642135456,14/01/2022 04:44,3.9,16.3,0,0
1642135756,14/01/2022 04:49,4.1,16.9,0,0
1642136056,14/01/2022 04:54,4.3,16,0,0
1642136356,14/01/2022 04:59,4.5,16.8,0,0
1642136656,14/01/2022 05:04,4.4,16.8,0,0
1642136956,14/01/2022 05:09,4.4,16.5,0,0
1642137256,14/01/2022 05:14,4.3,16,0,0
1642137556,14/01/2022 05:19,4.3,16.7,0,0
1642137856,14/01/2022 05:24,4.2,16.1,0,0
1642138156,14/01/2022 05:29,4.2,16.8,0,0
